Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
K. Kärberi tn 10,1,0.02,"Lasnamäe linnaosa, Tallinn, Harju maakond",60,3,N/A,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-k-karberi-tn/6683332?i=21
Õismäe tee 48,119000,2288.46,"Haabersti linnaosa, Tallinn, Harju maakond",52,2,3/16,1988,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/2977387?i=22
Mäepealse tn 24,165000,3707.87,"Mustamäe linnaosa, Tallinn, Harju maakond",44.5,2,3/6,2011,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-maepealse-tn/7951804?i=23
"Kalevipoja põik 3-33, Kotka",210000,2631.58,"Lasnamäe linnaosa, Tallinn, Harju maakond",79.8,5,9/9,1979,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-kalevipoja-poik/7856495?i=24
Ümera 44,80000,2439.02,"Lasnamäe linnaosa, Tallinn, Harju maakond",32.8,1,3/5,1986,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-umera/7247379?i=25
Pöörise tn 16,223000,2949.74,"Mustamäe linnaosa, Tallinn, Harju maakond",75.6,3,10/14,2020,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-poorise-tn/5265047?i=26
Lageloo tn 7,265000,4114.91,"Lasnamäe linnaosa, Tallinn, Harju maakond",64.4,3,3/8,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-lageloo-tn/1835145?i=27
Lahepea tn 9-64,335000,4105.39,"Haabersti linnaosa, Tallinn, Harju maakond",81.6,3,4/4,2020,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-lahepea-tn/2196191?i=28
Rahumäe tee 2/1-31,112000,3284.46,"Kristiine linnaosa, Tallinn, Harju maakond",34.1,1,4/4,1979,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-rahumae-tee/5904804?i=29
Vähi tn 6-3,219000,4285.71,"Haabersti linnaosa, Tallinn, Harju maakond",51.1,2,1/2,2022,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-vahi-tn/8491533?i=30
Köie tn 6-5,112000,4043.32,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",27.7,1,1/3,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-koie-tn/6945839?i=31
"Sõle tn 58, Kopli",78000,4756.1,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",16.4,1,4/4,1972,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-sole-tn/5282461?i=32
